 pressure    temp   err
1.1000e-07  166.95  2.08
1.4266e-07  166.86  2.05
1.8502e-07  166.76  2.01
2.3996e-07  166.65  1.96
3.1121e-07  166.53  1.91
4.0362e-07  166.41  1.84
5.2347e-07  166.27  1.75
6.7890e-07  166.13  1.64
8.8049e-07  165.98  1.50
1.1419e-06  165.84  1.34
1.4810e-06  165.69  1.18
1.9208e-06  165.53  1.04
2.4911e-06  165.33  0.96
3.2308e-06  165.05  0.96
4.1901e-06  164.71  1.01
5.4343e-06  164.33  1.08
7.0479e-06  163.92  1.17
9.1406e-06  163.45  1.24
1.1855e-05  162.91  1.29
1.5375e-05  162.27  1.31
1.9940e-05  161.57  1.31
2.5861e-05  160.84  1.27
3.3540e-05  160.12  1.20
4.3498e-05  158.71  1.09
5.6414e-05  157.95  0.98
7.3166e-05  157.22  0.87
9.4891e-05  156.12  0.81
1.2307e-04  154.69  0.79
1.5961e-04  153.64  0.82
2.0700e-04  151.68  0.87
2.6847e-04  149.63  0.94
3.4818e-04  147.60  1.00
4.5157e-04  145.07  1.04
5.8565e-04  142.75  1.05
7.5955e-04  140.29  1.03
9.8508e-04  137.11  0.99
1.2776e-03  132.79  0.95
1.6569e-03  127.66  0.92
2.1489e-03  123.44  0.92
2.7870e-03  117.25  0.95
3.6146e-03  108.55  1.00
4.6878e-03   99.30  1.04
6.0798e-03   89.86  1.07
7.8851e-03   80.85  1.07
1.0226e-02   74.68  1.03
1.3263e-02   70.64  0.96
1.7201e-02   67.47  0.89
2.2309e-02   65.39  0.83
2.8933e-02   63.75  0.80
3.7524e-02   62.34  0.81
4.8665e-02   61.14  0.86
6.3116e-02   59.89  0.95
8.1857e-02   58.81  1.09
1.0616e-01   58.39  1.24
1.3769e-01   58.26  1.39
1.7857e-01   58.46  1.53
2.3159e-01   58.65  1.65
3.0036e-01   59.00  1.75
3.8954e-01   60.29  1.83
5.0521e-01   62.66  1.90
6.5522e-01   65.09  1.96
8.4977e-01   69.90  2.00
1.1021e+00   76.21  2.04
1.4293e+00   83.92  2.07
1.8538e+00   93.22  2.10
